Length  10 ,180
Length  11 ,128
Average Degree of Seperation,5.931743929
Community  30 :,
Number of Nodes,146
Length  2 ,290
Length  3 ,20880
Average Degree of Seperation,2.98630137
Community  31 :,
Number of Nodes,146
Length  2 ,290
Length  3 ,20594
Length  4 ,286
Average Degree of Seperation,2.999811053
Community  32 :,
Number of Nodes,144
Length  2 ,286
Length  3 ,5362
Length  4 ,644
Length  5 ,7624
Length  6 ,650
Length  7 ,4120
Length  8 ,424
Length  9 ,1006
Length  10 ,152
Length  11 ,280
Length  12 ,20
Length  13 ,24
Average Degree of Seperation,5.22979798
Community  33 :,
Number of Nodes,137
Length  2 ,272
Length  3 ,15164
Length  4 ,268
Length  5 ,2928
Average Degree of Seperation,3.314083298
Community  34 :,
Number of Nodes,130
Length  2 ,258
Length  3 ,7968
Length  4 ,274
Length  5 ,2532
Length  6 ,230
Length  7 ,5508
Average Degree of Seperation,4.657841383
Community  35 :,
Number of Nodes,129
Length  2 ,256
Length  3 ,6786
Length  4 ,958
Length  5 ,7186
Length  6 ,688
Length  7 ,592
Length  8 ,34
Length  9 ,12
Average Degree of Seperation,4.195978682
Community  36 :,
Number of Nodes,128
Length  2 ,254
Length  3 ,11842
Length  4 ,1540
Length  5 ,2416
Length  6 ,126
Length  7 ,78
Average Degree of Seperation,3.418799213
Community  37 :,
Number of Nodes,127
Length  2 ,252
Length  3 ,15750
Average Degree of Seperation,2.984251969
Community  38 :,
Number of Nodes,127
Length  2 ,252
Length  3 ,8112
Length  4 ,518
Length  5 ,3848
Length  6 ,480
Length  7 ,2588
Length  8 ,202
Length  9 ,2
Average Degree of Seperation,4.298337708
Community  39 :,
Number of Nodes,122
Length  2 ,242
Length  3 ,14520
Average Degree of Seperation,2.983606557
Community  40 :,
Number of Nodes,119
Length  2 ,236
Length  3 ,9060
Length  4 ,986
Length  5 ,3218
Length  6 ,324
Length  7 ,196
Length  8 ,22
Average Degree of Seperation,3.644637516
Community  41 :,
Number of Nodes,117
Length  2 ,232
Length  3 ,13340
Average Degree of Seperation,2.982905983
Community  42 :,
Number of Nodes,117
Length  2 ,232
Length  3 ,6424
Length  4 ,720
Length  5 ,5248
Length  6 ,360
Length  7 ,552
Length  8 ,20
Length  9 ,16
Average Degree of Seperation,4.066018273
Community  43 :,
Number of Nodes,114
Length  2 ,226
Length  3 ,12434
Length  4 ,222
Average Degree of Seperation,2.999689489
Community  44 :,
Number of Nodes,114
Length  2 ,226
Length  3 ,12656
Average Degree of Seperation,2.98245614
Community  45 :,
Number of Nodes,113
Length  2 ,224
Length  3 ,4896
Length  4 ,472
Length  5 ,3032
Length  6 ,260
Length  7 ,2808
Length  8 ,124
Length  9 ,840
Average Degree of Seperation,4.895069532
Community  46 :,
Number of Nodes,111
Length  2 ,220
Length  3 ,11990
Average Degree of Seperation,2.981981982
Community  47 :,
Number of Nodes,105
Length  2 ,208
Length  3 ,10508
Length  4 ,204
Average Degree of Seperation,2.9996337
Community  48 :,
Number of Nodes,104
Length  2 ,206
Length  3 ,4096
Length  4 ,300
Length  5 ,5002
Length  6 ,100
Length  7 ,1008
Average Degree of Seperation,4.347087379
Community  49 :,
Number of Nodes,103
Length  2 ,204
Length  3 ,8396
Length  4 ,740
Length  5 ,1104
Length  6 ,36
Length  7 ,26
Average Degree of Seperation,3.281363031
Community  50 :,
Number of Nodes,98
Length  2 ,194
Length  3 ,9312
Average Degree of Seperation,2.979591837
Community  51 :,
Number of Nodes,96
Length  2 ,190
Length  3 ,8930
Average Degree of Seperation,2.979166667
Community  52 :,
Number of Nodes,94
Length  2 ,186
Length  3 ,7326
Length  4 ,686
Length  5 ,522
Length  6 ,18
Length  7 ,4
Average Degree of Seperation,3.184625944
Community  53 :,
Number of Nodes,92
Length  2 ,182
Length  3 ,8190
Average Degree of Seperation,2.97826087
Community  54 :,
Number of Nodes,85
Length  2 ,168
Length  3 ,3864
Length  4 ,208
Length  5 ,2670
Length  6 ,116
Length  7 ,114
Average Degree of Seperation,3.866106443
Community  55 :,
Number of Nodes,85
Length  2 ,168
Length  3 ,2104
Length  4 ,430
Length  5 ,2434
Length  6 ,634
Length  7 ,1370
Average Degree of Seperation,4.752380952
Community  56 :,
Number of Nodes,81
Length  2 ,160
Length  3 ,5418
Length  4 ,300
Length  5 ,586
Length  6 ,8
Length  7 ,8
Average Degree of Seperation,3.211111111
Community  57 :,
Number of Nodes,80
Length  2 ,158
Length  3 ,6162
Average Degree of Seperation,2.975
Community  58 :,
Number of Nodes,75
Length  2 ,148
Length  3 ,5402
Average Degree of Seperation,2.973333333
Community  59 :,
Number of Nodes,73
Length  2 ,144
Length  3 ,1326
Length  4 ,302
Length  5 ,1486
Length  6 ,248
Length  7 ,1142
Length  8 ,230
Length  9 ,378
Average Degree of Seperation,5.256468798
Community  60 :,
Number of Nodes,70
Length  2 ,138
Length  3 ,4692
Average Degree of Seperation,2.971428571
Community  61 :,
Number of Nodes,63
Length  2 ,124
Length  3 ,3430
Length  4 ,120
Length  5 ,232
Average Degree of Seperation,3.117767537
Community  62 :,
Number of Nodes,56
Length  2 ,110
Length  3 ,2970
Average Degree of Seperation,2.964285714
Community  63 :,
Number of Nodes,55
Length  2 ,108
Length  3 ,2862
Average Degree of Seperation,2.963636364
Community  64 :,
Number of Nodes,54
Length  2 ,106
Length  3 ,2194
Length  4 ,102
Length  5 ,460
Average Degree of Seperation,3.320055905
Community  65 :,
Number of Nodes,52
Length  2 ,102
Length  3 ,2452
Length  4 ,98
Average Degree of Seperation,2.998491704
Community  66 :,
Number of Nodes,51
Length  2 ,100
Length  3 ,1300
Length  4 ,96
Length  5 ,94
Length  6 ,960
Average Degree of Seperation,4.201568627
Community  67 :,
Number of Nodes,48
Length  2 ,94
Length  3 ,1820
Length  4 ,90
Length  5 ,252
